MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Age,BikeBuyer
M,M,90000,2,0,Bachelors,Professional,1,0,1-2 Miles,47,1
S,M,60000,3,3,Bachelors,Professional,0,1,0-1 Miles,42,1
M,M,60000,3,3,Bachelors,Professional,1,1,2-5 Miles,47,1
S,F,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,45,1
S,F,80000,5,5,Bachelors,Professional,1,4,1-2 Miles,39,1
S,M,70000,0,0,Bachelors,Professional,1,1,5-10 Miles,42,1
S,F,70000,0,0,Bachelors,Professional,1,1,5-10 Miles,42,1
M,M,60000,3,3,Bachelors,Professional,1,2,0-1 Miles,49,1
S,F,60000,4,4,Bachelors,Professional,1,3,10+ Miles,43,1
S,M,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,49,1
S,F,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,49,1
M,M,60000,4,4,Bachelors,Professional,1,4,10+ Miles,49,1
M,F,100000,2,0,Bachelors,Management,1,2,1-2 Miles,39,0
M,M,100000,2,0,Bachelors,Management,1,3,0-1 Miles,39,0
S,F,100000,3,0,Bachelors,Management,0,3,1-2 Miles,45,0
S,F,30000,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,34,1
M,M,30000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,34,1
S,F,20000,4,0,High School,Skilled Manual,1,2,5-10 Miles,69,1
S,M,30000,2,0,Partial College,Clerical,1,2,5-10 Miles,63,1
S,M,40000,0,0,High School,Skilled Manual,0,2,5-10 Miles,35,0
S,M,40000,0,0,High School,Skilled Manual,0,2,1-2 Miles,34,1
S,F,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,34,1
M,M,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,34,1
M,M,40000,0,0,Partial College,Skilled Manual,1,1,1-2 Miles,34,0
M,M,60000,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,34,0
M,M,10000,2,1,Partial High School,Clerical,1,2,1-2 Miles,67,1
S,M,30000,2,0,Partial College,Clerical,0,2,1-2 Miles,67,1
M,M,30000,2,0,Partial College,Clerical,1,2,5-10 Miles,66,1
M,F,30000,2,0,Partial College,Clerical,1,2,1-2 Miles,67,1
M,M,30000,2,0,Partial College,Clerical,1,2,1-2 Miles,66,1
M,F,10000,2,1,Partial High School,Clerical,1,2,1-2 Miles,60,1
M,F,20000,4,0,High School,Skilled Manual,1,2,1-2 Miles,65,1
M,F,20000,4,0,High School,Skilled Manual,1,2,1-2 Miles,66,1
M,M,20000,4,0,High School,Skilled Manual,1,2,5-10 Miles,60,1
M,F,20000,4,0,High School,Skilled Manual,1,2,5-10 Miles,66,1
M,F,10000,2,1,Partial High School,Clerical,1,2,1-2 Miles,65,1
M,F,60000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,34,1
S,F,40000,0,0,Partial High School,Clerical,0,2,5-10 Miles,35,1
M,F,10000,2,1,Partial High School,Clerical,1,2,5-10 Miles,65,1
M,M,30000,3,0,Partial College,Clerical,1,2,5-10 Miles,64,1
M,M,30000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,35,1
M,F,60000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,35,1
M,F,70000,0,0,Partial College,Skilled Manual,1,2,0-1 Miles,36,1
M,M,60000,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,37,0
M,M,20000,2,1,Partial High School,Clerical,1,2,1-2 Miles,64,1
S,M,30000,3,0,High School,Skilled Manual,0,2,1-2 Miles,63,0
M,F,30000,3,0,High School,Skilled Manual,1,2,5-10 Miles,63,1
M,F,30000,3,0,High School,Skilled Manual,0,2,1-2 Miles,63,1
M,M,30000,3,0,High School,Skilled Manual,1,2,5-10 Miles,62,1
S,F,40000,0,0,Partial High School,Clerical,1,2,5-10 Miles,32,0
M,M,30000,3,0,High School,Skilled Manual,1,2,5-10 Miles,61,1
S,M,30000,3,0,High School,Skilled Manual,0,2,1-2 Miles,61,0
S,F,40000,2,0,Partial College,Clerical,0,2,5-10 Miles,61,1
M,F,60000,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,32,1
M,F,40000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,61,1
M,M,40000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,61,1
M,F,40000,3,0,Partial College,Skilled Manual,1,2,5-10 Miles,60,1
M,M,70000,2,0,Graduate Degree,Management,1,2,1-2 Miles,48,1
M,M,80000,2,0,Partial College,Skilled Manual,1,2,1-2 Miles,53,1
S,F,80000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,59,0
M,M,80000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,59,1
M,M,80000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,42,1
